Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
269           269           +236.93       +690.248      +323.429      +46.3969      -1791.65      -308.595      +1297         -2100.24      -803.238      
270           270           +227.479      +732.915      +308.945      +46.8943      -1775.02      -282.113      +1316.23      -2057.13      -740.898      
271           271           +231.152      +734.204      +309.441      +47.237       -1761.35      -290.541      +1322.03      -2051.89      -729.859      
272           272           +233.853      +684.999      +298.883      +51.7469      -1756.58      -292.682      +1269.48      -2049.26      -779.781      
273           273           +240.443      +692.999      +301.848      +43.4839      -1756.73      -305.744      +1278.77      -2062.48      -783.703      
274           274           +235.629      +686.968      +300.941      +48.5272      -1748.17      -290.921      +1272.07      -2039.09      -767.027      
275           275           +224.512      +704.641      +317.521      +48.26        -1736.65      -302.305      +1294.93      -2038.95      -744.02       
276           276           +215.547      +713.489      +308.937      +43.3897      -1749.29      -322.751      +1281.36      -2072.04      -790.678      
277           277           +234.992      +703.543      +310.488      +41.6347      -1771.48      -306.119      +1290.66      -2077.6       -786.946      
278           278           +238.407      +702.182      +296.494      +45.491       -1789.81      -311.949      +1282.57      -2101.76      -819.187      
279           279           +238.875      +689.957      +281.726      +39.0211      -1765.47      -299.808      +1249.58      -2065.28      -815.701      
280           280           +232.54       +691.846      +293.513      +53.8088      -1759.71      -290.457      +1271.71      -2050.17      -778.462      
281           281           +263.037      +726.004      +310.478      +37.2879      -1763.09      -293.571      +1336.81      -2056.67      -719.859      
282           282           +235.874      +753.763      +316.279      +31.5807      -1763.17      -295.464      +1337.5       -2058.63      -721.133      
283           283           +240.449      +716.782      +297.249      +42.2205      -1732.5       -315.698      +1296.7       -2048.19      -751.494      
284           284           +243.596      +770.95       +291.38       +33.439       -1742.59      -315.549      +1339.37      -2058.14      -718.773      
285           285           +250.602      +719.348      +313.65       +48.0661      -1765.73      -297.99       +1331.67      -2063.72      -732.052      
286           286           +231.392      +736.421      +306.586      +39.6075      -1762.71      -306.311      +1314.01      -2069.02      -755.016      
287           287           +242.722      +712.44       +293.77       +38.101       -1750.82      -304.848      +1287.03      -2055.67      -768.639      
288           288           +238.951      +739.226      +308.136      +47.436       -1715.87      -313.224      +1333.75      -2029.09      -695.344      
289           289           +239.786      +737.785      +302.433      +39.2688      -1745.72      -295.345      +1319.27      -2041.06      -721.79       
