Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
5 4 -6.9364624 0.0 -34.1042 8.61893 -11.4765 232.458 -1699.15 232.599 -1692.95 0.0 232.599 -1692.95 2.03322 -34.1042 -1492.4219 4.1967 4.1967
5 5 -6.9364624 0.0 -34.1042 8.61893 -11.4765 232.458 -1699.15 232.599 -1692.95 0.0 232.599 -1692.95 2.03322 -34.1042 -1492.4219 4.1967 4.1967
5 6 -6.9364624 0.0 -34.1042 8.61893 -11.4765 232.458 -1699.15 232.599 -1692.95 0.0 232.599 -1692.95 2.03322 -34.1042 -1492.4219 4.1967 4.1967
5 7 -6.9364624 0.0 -34.1042 8.61893 -11.4765 232.458 -1699.15 232.599 -1692.95 0.0 232.599 -1692.95 2.03322 -34.1042 -1492.4219 4.1967 4.1967
6 0 -6.997031 0.0 -41.2362 8.36142 -11.3852 232.458 -1699.15 232.52 -1683.1 0.0 232.52 -1683.1 -1.56442 -41.2362 -1493.3806 0.451428 0.451428
6 1 -6.997031 0.0 -41.2362 8.36142 -11.3852 232.458 -1699.15 232.52 -1683.1 0.0 232.52 -1683.1 -1.56442 -41.2362 -1493.3806 0.451428 0.451428
6 2 -6.9745927 0.0 -40.7908 8.36545 -11.3366 232.458 -1699.15 232.509 -1683.35 0.0 232.509 -1683.35 -1.66849 -40.7908 -1493.3003 0.576376 0.576376
6 3 -6.9745927 0.0 -40.7908 8.36545 -11.3366 232.458 -1699.15 232.509 -1683.35 0.0 232.509 -1683.35 -1.66849 -40.7908 -1493.3003 0.576376 0.576376
6 4 -6.57229 0.0 -32.0402 8.3549 -10.9148 232.458 -1699.15 232.472 -1689.84 0.0 232.472 -1689.84 -1.28175 -32.0402 -1490.6898 2.46945 2.46945
6 5 -6.57229 0.0 -32.0402 8.3549 -10.9148 232.458 -1699.15 232.472 -1689.84 0.0 232.472 -1689.84 -1.28175 -32.0402 -1490.6898 2.46945 2.46945
6 6 -6.57229 0.0 -32.0402 8.3549 -10.9148 232.458 -1699.15 232.472 -1689.84 0.0 232.472 -1689.84 -1.28175 -32.0402 -1490.6898 2.46945 2.46945
6 7 -6.57229 0.0 -32.0402 8.3549 -10.9148 232.458 -1699.15 232.472 -1689.84 0.0 232.472 -1689.84 -1.28175 -32.0402 -1490.6898 2.46945 2.46945
7 0 -6.6528378 0.0 -31.2513 8.38125 -11.7513 232.458 -1699.15 232.814 -1693.7 0.0 232.814 -1693.7 -0.306179 -31.2513 -1492.4435 5.52492 5.52492
7 1 -6.704129 0.0 -31.9867 8.3279 -11.7572 232.458 -1699.15 232.756 -1693.4 0.0 232.756 -1693.4 0.341377 -31.9867 -1492.2893 5.45194 5.45194
7 2 -6.704129 0.0 -31.9867 8.3279 -11.7572 232.458 -1699.15 232.756 -1693.4 0.0 232.756 -1693.4 0.341377 -31.9867 -1492.2893 5.45194 5.45194
7 3 -6.558223 0.0 -27.5705 8.23394 -10.4083 232.458 -1699.15 232.841 -1696.77 0.0 232.841 -1696.77 -0.602644 -27.5705 -1492.102 5.76142 5.76142
7 4 -6.5471573 0.0 -27.4559 8.23457 -10.4005 232.458 -1699.15 232.862 -1696.79 0.0 232.862 -1696.79 -0.680194 -27.4559 -1492.0642 5.80469 5.80469
7 5 -6.5471573 0.0 -27.4559 8.23457 -10.4005 232.458 -1699.15 232.862 -1696.79 0.0 232.862 -1696.79 -0.680194 -27.4559 -1492.0642 5.80469 5.80469
7 6 -6.5893373 0.0 -29.8967 8.21262 -11.2199 232.458 -1699.15 232.901 -1694.62 0.0 232.901 -1694.62 0.564328 -29.8967 -1491.0514 7.61865 7.61865
7 7 -6.572163 0.0 -28.8795 8.18772 -10.3456 232.458 -1699.15 232.936 -1695.13 0.0 232.936 -1695.13 1.13504 -28.8795 -1489.9385 7.76335 7.76335
8 0 -6.826745 0.0 -30.2489 8.81125 -11.2086 232.458 -1699.15 231.99 -1695.61 0.0 231.99 -1695.61 1.86704 -30.2489 -1492.0018 4.1202 4.1202
8 1 -6.7855287 0.0 -29.8327 8.76062 -11.1562 232.458 -1699.15 231.954 -1695.55 0.0 231.954 -1695.55 1.69395 -29.8327 -1491.7349 4.10917 4.10917
8 2 -6.5302463 0.0 -28.8362 8.33688 -12.6205 232.458 -1699.15 231.968 -1695.06 0.0 231.968 -1695.06 0.453494 -28.8362 -1491.4747 3.77413 3.77413
8 3 -6.583307 0.0 -29.3254 8.338 -12.397 232.458 -1699.15 231.932 -1694.89 0.0 231.932 -1694.89 1.24395 -29.3254 -1491.0394 4.26247 4.26247
8 4 -7.0233283 0.0 -35.3291 8.58087 -12.1916 232.458 -1699.15 231.771 -1691.97 0.0 231.771 -1691.97 6.43613 -35.3291 -1489.0919 9.86253 9.86253
